,Date_measurement,RNA_flow_per_100000,RNA_per_ml,Measurement_count,RNA_per_100000_per_measurement,pandas_SMA_3,pandas_SMA_7
304,2021-02-17,2895205787274084.0,0.0,85,34061244556165.695,39970283002264.81,31406596548280.305
305,2021-02-18,4226196027179289.0,0.0,125,33809568217434.312,33946184591201.984,32344741362567.957
306,2021-02-19,1284871957187369.0,0.0,37,34726269113172.137,34199027295590.72,33549425244550.3
307,2021-02-20,1159036774417201.0,0.0,35,33115336411920.027,33883724580842.156,35483439293539.336
308,2021-02-21,5363245071677865.0,0.0,103,52070340501726.84,39970648675606.336,39090337607292.54
309,2021-02-22,3655349867748450.0,0.0,112,32637052390611.16,39274243101419.34,36341078884433.734
310,2021-02-23,2120661114425404.0,0.0,83,25550133908739.81,36752508933692.6,35138563585681.43
311,2021-02-24,2078508094823296.0,0.0,124,16762162055026.58,24983116118125.848,32667266085518.695
312,2021-02-25,1400989356817706.0,0.0,118,11872791159472.084,18061695707746.16,29533440791524.09
313,2021-02-26,335030442489229.0,0.0,22,15228656476783.137,14621203230427.266,26748067557754.24
314,2021-02-27,1599057840377072.0,0.0,38,42080469483607.16,23060639039954.125,28028800853709.535
315,2021-02-28,1461628076778225.0,0.0,110,13287527970711.137,23532217977033.81,22488399063564.438
316,2021-03-01,1539567088358696.0,0.0,113,13624487507599.08,22997494987305.79,19772318365991.285
317,2021-03-02,1232046482824576.0,0.0,66,18667370951887.516,15193128810065.908,18789066515012.383
318,2021-03-03,1679428010784117.0,0.0,110,15267527370764.7,15853128610083.764,18575547274403.543
319,2021-03-04,2163115191315486.0,0.0,99,21849648397126.12,18594848906592.777,20000812594068.406
320,2021-03-05,749594984374528.0,0.0,38,19726183799329.684,18947786522406.832,20643316497289.344
321,2021-03-06,1101654878999523.0,0.0,44,25037610886352.797,22204481027602.863,18208622411967.29
322,2021-03-07,2444086874867801.0,0.0,100,24440868748678.01,23068221144786.83,19801956808819.7
323,2021-03-08,3610243488491175.0,0.0,142,25424249918951.938,24967576517994.246,21487637153298.68
324,2021-03-09,1450739057899365.0,0.0,81,17910358739498.332,22591825802376.09,21379492551528.8
325,2021-03-10,1700238481268213.0,0.0,94,18087643417746.945,20474084025399.07,21782366272526.258
326,2021-03-11,2851767968068321.0,0.0,118,24167525153121.363,20055175770122.215,22113491523382.723
327,2021-03-12,542461041229405.0,0.0,25,21698441649176.2,21317870073348.168,22395242644789.37
328,2021-03-13,417154659753926.0,0.0,18,23175258875218.11,23013741892505.223,22129192357484.414
329,2021-03-14,1633147962088190.0,0.0,93,17560730775141.828,20811477099845.38,21146315504122.1
330,2021-03-15,2102349624323742.0,0.0,143,14701745624641.553,18479245091667.164,19614529176363.477
331,2021-03-16,1752314308681239.0,0.0,64,27379911073144.36,19880795824309.246,20967322366884.34
332,2021-03-17,1464736402445439.0,0.0,113,12962269048189.727,18347975248658.547,20235126028376.16
333,2021-03-18,2476097930456930.0,0.0,133,18617277672608.496,19653152597980.86,19442233531160.04
